"表章項目","男女別","人口","全国・都道府県","/時間軸（年）","2005年","2010年","2015年","2020年","2021年","2022年","2023年","2024年"
"人口【千人】","男女計","総人口","全国","","127,768","128,057","127,095","126,146","125,502","124,947","124,352","123,802"
"人口【千人】","男女計","総人口","北海道","","5,628","5,506","5,382","5,225","5,183","5,140","5,092","5,043"
"人口【千人】","男女計","総人口","青森県","","1,437","1,373","1,308","1,238","1,221","1,204","1,184","1,165"
"人口【千人】","男女計","総人口","岩手県","","1,385","1,330","1,280","1,211","1,196","1,181","1,163","1,145"
"人口【千人】","男女計","総人口","宮城県","","2,360","2,348","2,334","2,302","2,290","2,280","2,264","2,248"
"人口【千人】","男女計","総人口","秋田県","","1,146","1,086","1,023","960","945","930","914","897"
"人口【千人】","男女計","総人口","山形県","","1,216","1,169","1,124","1,068","1,055","1,041","1,026","1,011"
"人口【千人】","男女計","総人口","福島県","","2,091","2,029","1,914","1,833","1,812","1,790","1,767","1,743"
"人口【千人】","男女計","総人口","茨城県","","2,975","2,970","2,917","2,867","2,852","2,840","2,825","2,806"
"人口【千人】","男女計","総人口","栃木県","","2,017","2,008","1,974","1,933","1,921","1,909","1,897","1,885"
"人口【千人】","男女計","総人口","群馬県","","2,024","2,008","1,973","1,939","1,927","1,913","1,902","1,890"
"人口【千人】","男女計","総人口","埼玉県","","7,054","7,195","7,267","7,345","7,340","7,337","7,331","7,332"
"人口【千人】","男女計","総人口","千葉県","","6,056","6,216","6,223","6,284","6,275","6,266","6,257","6,251"
"人口【千人】","男女計","総人口","東京都","","12,577","13,159","13,515","14,048","14,010","14,038","14,086","14,178"
"人口【千人】","男女計","総人口","神奈川県","","8,792","9,048","9,126","9,237","9,236","9,232","9,229","9,225"
"人口【千人】","男女計","総人口","新潟県","","2,431","2,374","2,304","2,201","2,177","2,153","2,126","2,099"
"人口【千人】","男女計","総人口","富山県","","1,112","1,093","1,066","1,035","1,025","1,017","1,007","997"
"人口【千人】","男女計","総人口","石川県","","1,174","1,170","1,154","1,133","1,125","1,118","1,109","1,098"
"人口【千人】","男女計","総人口","福井県","","822","806","787","767","760","753","744","739"
"人口【千人】","男女計","総人口","山梨県","","885","863","835","810","805","802","796","791"
"人口【千人】","男女計","総人口","長野県","","2,196","2,152","2,099","2,048","2,033","2,020","2,004","1,987"
"人口【千人】","男女計","総人口","岐阜県","","2,107","2,081","2,032","1,979","1,961","1,946","1,931","1,916"
"人口【千人】","男女計","総人口","静岡県","","3,792","3,765","3,700","3,633","3,608","3,582","3,555","3,527"
"人口【千人】","男女計","総人口","愛知県","","7,255","7,411","7,483","7,542","7,517","7,495","7,477","7,460"
"人口【千人】","男女計","総人口","三重県","","1,867","1,855","1,816","1,770","1,756","1,742","1,727","1,711"
"人口【千人】","男女計","総人口","滋賀県","","1,380","1,411","1,413","1,414","1,411","1,409","1,407","1,402"
"人口【千人】","男女計","総人口","京都府","","2,648","2,636","2,610","2,578","2,561","2,550","2,535","2,520"
"人口【千人】","男女計","総人口","大阪府","","8,817","8,865","8,839","8,838","8,806","8,782","8,763","8,757"
"人口【千人】","男女計","総人口","兵庫県","","5,591","5,588","5,535","5,465","5,432","5,402","5,370","5,337"
"人口【千人】","男女計","総人口","奈良県","","1,421","1,401","1,364","1,324","1,315","1,306","1,296","1,285"
"人口【千人】","男女計","総人口","和歌山県","","1,036","1,002","964","923","914","903","892","880"
"人口【千人】","男女計","総人口","鳥取県","","607","589","573","553","549","544","537","531"
"人口【千人】","男女計","総人口","島根県","","742","717","694","671","665","658","650","642"
"人口【千人】","男女計","総人口","岡山県","","1,957","1,945","1,922","1,888","1,876","1,862","1,847","1,831"
"人口【千人】","男女計","総人口","広島県","","2,877","2,861","2,844","2,800","2,780","2,760","2,738","2,714"
"人口【千人】","男女計","総人口","山口県","","1,493","1,451","1,405","1,342","1,328","1,313","1,298","1,281"
"人口【千人】","男女計","総人口","徳島県","","810","785","756","720","712","704","695","685"
"人口【千人】","男女計","総人口","香川県","","1,012","996","976","950","942","934","926","917"
"人口【千人】","男女計","総人口","愛媛県","","1,468","1,431","1,385","1,335","1,321","1,306","1,291","1,276"
"人口【千人】","男女計","総人口","高知県","","796","764","728","692","684","676","666","656"
"人口【千人】","男女計","総人口","福岡県","","5,050","5,072","5,102","5,135","5,124","5,116","5,103","5,092"
"人口【千人】","男女計","総人口","佐賀県","","866","850","833","811","806","801","795","788"
"人口【千人】","男女計","総人口","長崎県","","1,479","1,427","1,377","1,312","1,297","1,283","1,267","1,252"
"人口【千人】","男女計","総人口","熊本県","","1,842","1,817","1,786","1,738","1,728","1,718","1,709","1,697"
"人口【千人】","男女計","総人口","大分県","","1,210","1,197","1,166","1,124","1,114","1,107","1,096","1,085"
"人口【千人】","男女計","総人口","宮崎県","","1,153","1,135","1,104","1,070","1,061","1,052","1,042","1,033"
"人口【千人】","男女計","総人口","鹿児島県","","1,753","1,706","1,648","1,588","1,576","1,563","1,549","1,532"
"人口【千人】","男女計","総人口","沖縄県","","1,362","1,393","1,434","1,467","1,468","1,468","1,468","1,466"
